video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"efCIhcKJV4M","CREÉ MI PROPIO BRAINROT 😂🐶 Ciocco Cane Ripienolato #mikecrack","2025-04-21T20:21:55Z","UCqJ5zFEED1hWs0KNQCQuYdQ","Mikecrack","24","25.22.04","mikecrack|brainrot|italian|italiano|italian brainrot|brain rot|brainroot|tralalero tralala","1468807","0","0","1961","https://i.ytimg.com/vi/efCIhcKJV4M/default.jpg","False","True","Como están tan de moda los Italian Brainrot, he decidido crear mi propio brainrot juntando las cosas que mas me gustan 😂"
"RUH8RqJ3XBA","El 90% de los Españoles están en Quiebra - Javier López Abogado  #adriansaenz #podcast","2025-04-21T20:44:01Z","UCBtKQIB56bJmu6eZ4cbehKQ","Adrián Sáenz Podcast","27","25.22.04","[none]","94240","0","0","39","https://i.ytimg.com/vi/RUH8RqJ3XBA/default.jpg","False","True",""
"HvBY7oId2cQ","Muchos no lo quisieron pero los acabó callando con goles 😱 #historiasreales #historiasreais","2025-04-21T18:10:59Z","UC6Dhs8ty7MsLENOTvTY2Idg","Jose Cobo","20","25.22.04","[none]","1409623","0","0","277","https://i.ytimg.com/vi/HvBY7oId2cQ/default.jpg","False","True",""
"1bgQQcte_1s","ME AYUDAS A DECIFRARLO ? | Créditos @BloxVALENTINA  #roblox #blookhaven","2025-04-20T20:13:07Z","UCshMrsJig3m3-vS2aScGMlg","Mia Plumones","20","25.22.04","[none]","2645882","0","0","619","https://i.ytimg.com/vi/1bgQQcte_1s/default.jpg","False","True","MÚSICA ORIGINAL DE BloxVALENTINA @BloxVALENTINA https://www.youtube.com/shorts/CgJJkJf-qxE"
"-1yjnXf0nX8","NO TE PINTES EL CABELLO MORADO❌ por esta razón…","2025-04-21T20:25:37Z","UCPiK7jvCsveg9DVyFq0vm6A","Soyalerios","24","25.22.04","[none]","1142953","0","0","1404","https://i.ytimg.com/vi/-1yjnXf0nX8/default.jpg","False","True",""
"aZAuGW9NoV4","RESTAURAR FAROS CON ACETONA 🧪💎","2025-04-20T17:00:03Z","UC76hs2bdrebFYvdR-I8bwyw","vicesat","2","25.22.04","[none]","479858","0","0","192","https://i.ytimg.com/vi/aZAuGW9NoV4/default.jpg","False","True","Si tienes los faros del coche gastados o amarillentos puedes pulirlos o restaurarlos con acetona caliente."
"8voqwwcZt9E","¿Por qué NUNCA debes Contestar el Teléfono mientras te Duchas?","2025-04-21T18:39:42Z","UCdyqhPdtgJV5sSl8-Ynfd4w","Antón Lofer","23","25.22.04","Anton Lofer|Comedia Española|Humor cotidiano","56584","0","0","21","https://i.ytimg.com/vi/8voqwwcZt9E/default.jpg","False","True","SIGUE VIENDO! https://www.youtube.com/@AntonLofer/videos?view=0&sort=dd&shelf_id=1⚡SUSCRIBETE⚡: https://bit.ly/3jzDi0sConviértete en miembro de este canal para disfrutar de ventajas:https://www.youtube.com/channel/UCdyqhPdtgJV5sSl8-Ynfd4w/joinHola! Soy Anton Lofer y este es mi canal de humor. Puede que me conozcas por mi Tiktok i mi Instagram y por ello en este canal verás videos para reir, desde Sketchs, vlogs y mucho más! Sobretodo Comedia.Musica del Final: https://www.youtube.com/watch?v=tT-aB5QHEgIGracias por ver el vídeo! Si te ha gustado dale al LIKE! Si no quieres perderte los nuevos suscríbete! #AntonLofer#Humor"
"KKgFugLukpA","FC Barcelona vs RC Celta (4-3) | Resumen y goles | Highlights LALIGA EA SPORTS","2025-04-19T21:00:28Z","UCK-mxP4hLap1t3dp4bPbSBg","DAZN ES","17","25.22.04","Barcelona|Barcelona vs Celta de Vigo|Celta de Vigo|Dani Olmo|Ferran|doblete Raphinha|Raphinha|triplete Borja Iglesias|hat-trick Borja Iglesias|Borja Iglesias|FC Barcelona|RC Celta de Vigo|FC Barcelona vs RC Celta|RC Celta|Barça|Barça-Celta|Barça vs Celta resumen|Barça vs Celta resumen y goles|Barça vs Celta resumen del partido|Barça vs Celta highlights|Barça vs Celta|resumen del partido|resumen y goles|highlights|LALIGA|LALIGA EA SPORTS|fútbol|dazn","382909","0","0","495","https://i.ytimg.com/vi/KKgFugLukpA/default.jpg","False","True","Aunque el Celta puso al Barça contra las cuerdas en varias ocasiones gracias al hat-trick de Borja Iglesias, los tantos de Dani Olmo y Ferran, sumados al doblete de Raphinha, le acabaron dando la victoria al conjunto al conjunto blaugrana tras cerrar su encuentro en la jornada 32 de LALIGA EA SPORTS con un resultado final de 4-3 en el marcador. #LALIGAenDAZNRegístrate y disfruta de todo el deporte disponible en DAZN desde 14,99€ hasta el 30 de marzo: https://tinyurl.com/PlanProDAZNYT¿Eres fanático de la F1, de MotoGP y de todo el motor? Suscríbete a DAZN con el Plan Motor y disfrútalo desde 9,99€ al mes hasta el 30 de marzo.Visita nuestra tienda online y compra ya: https://tinyurl.com/DAZNShopYTJuega a '6 para ganar' totalmente gratis y gana 50.000€: https://tinyurl.com/DAZNpicksYTRegístrate y disfruta GRATIS de DAZN: https://tinyurl.com/DAZNgratisYTbioÚltimas noticias del mundo del deporte en DAZN News ⚽️ 🏀 🏁https://www.dazn.com/es-ES/news¡Síguenos en nuestras redes!📌  Únete a nuestro canal de Whatsapphttps://whatsapp.com/channel/0029VaD5jGrCnA80qKT5j72A📌 Twitchhttps://www.twitch.tv/daznes📌 TikTokhttps://www.tiktok.com/@dazn_es📌 Instagramhttps://www.instagram.com/dazn_es/📌 Facebookhttps://www.facebook.com/DAZNES/📌 Twitterhttps://twitter.com/DAZN_ES📌 Threadshttps://www.threads.net/@dazn_es📌 Youtubehttps://www.youtube.com/DAZNES"
"5K1ugZExdeg","Mbappé With Emojis 🙈😅","2025-04-21T15:30:03Z","UC1a2ZCw7tugRZYRMnecNj3A","Celine Dept","17","25.22.04","[none]","14716714","0","0","2986","https://i.ytimg.com/vi/5K1ugZExdeg/default.jpg","False","True","Subscribe :)"
"Uxmqj0nAsaM","NO PUEDO SENTIR NADA EN ROBLOX😱 |Creditos @MariaBloxTV #roblox #blookhaven","2025-04-21T20:02:52Z","UCshMrsJig3m3-vS2aScGMlg","Mia Plumones","20","25.22.04","[none]","1503898","0","0","347","https://i.ytimg.com/vi/Uxmqj0nAsaM/default.jpg","False","True","MÚSICA ORIGINAL DE MariaBlox @MariaBloxTV   https://www.youtube.com/shorts/j2wwAYZbhtk"
