video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"2EAD9bQG37I","НАВИГАТОР (смешное видео, юмор, приколы, поржать, прикол)","2025-04-22T12:00:06Z","UCE7f6y9VGVdZEtHeluRj_Wg","Натурал Альбертович","23","25.22.04","[none]","746646","0","0","1622","https://i.ytimg.com/vi/2EAD9bQG37I/default.jpg","False","True",""
"GsFSfiyoNZo","Как разговаривать со своими детьми? «Переходный возраст», буллинг, развод / вДудь","2025-04-22T07:27:35Z","UCMCgOm8GZkHp8zJ6l7_hIuA","вДудь","22","25.22.04","ремиш|дудь|интервью|наталья ремиш|юрий дудь|вдудь|подростки|родители|дети|переходный возраст|про миру и гошу|отношения детей и родителей|нидерланды|амстердам|европа|западная европа|Adolescence|сериалы|нетфликс|netflix|мульфильмы|детские эмоции|семейный блогер|Stephen Graham|Owen Cooper|стивен грэм|оуэн купер|сериал переходный возраст|развод родителей|ребенок|отношения с ребенком|педагогика|педагоги|материнство|родительство|мама|папа","321221","0","0","2601","https://i.ytimg.com/vi/GsFSfiyoNZo/default.jpg","False","True","Изучайте испанский язык в Барселоне (или из любой точки мира):https://freedaspace.com/ru/register/?utm_source=yriidudНе забудьте поставить лайк и написать комментарий! Это очень поможет нам и нашему видео. Спасибо!Поддержите следующие выпуски вДудя https://taplink.cc/vdudтакже можно поддержать криптовалютой:USDT (TRC20)TGogke2rxVazaRi2tsF8Z8C2LtYPxKcJdUBTC18J5qR4FkrknzN54r94biXfwGXkDwGGubtETH (ERC20)0x15c34612e8bb943f96cb2808cac8c7777fd8b7a7-------Когда я смотрел сериал Adolescence («Переходный возраст»), во мне было много чувств и вопросов. Задать эти вопросы захотелось тому, кто больше в теме. Наталья Ремиш – продюсер и сценарист мультсериала «Про миру и Гошу» (дети многих из вас его смотрели), автор книги о подростках, многодетная мать и многолетний исследователь отношений детей и родителей. С вопросами я пришел к ней. Важно (это подчеркивает и сама героиня): она НЕ психолог, а исследователь, поэтому все, что мы обсуждаем, – это ее наблюдения и личный опыт, а не руководство к действию. Мы – обсуждаем, ваше дело – соглашаться с этим или нет.Наталья Ремиш https://www.instagram.com/natalia.remish/Про Миру и Гошу https://www.youtube.com/@UCDL9XukzFVU7rfOS6-m-EHQ  0:00 Вперед!0:29 О чем этот выпуск?1:39 Нужно ли запретить соцсети для детей?4:03 Как отправить ребенка учиться в Европу 5:47 Сериал «Переходный возраст»11:00 Как понять, что ребенка буллят / склоняют к плохому? 17:47 В чем проблема подростка из «Переходного возраста»? 22:57 3 главные ошибки родителей 27:42 Остров подростков 30:05 «Про Миру и Гошу»: как создается и сколько стоит мультсериал?35:38 Можно ли покупать ребенку мотороллер? 37:53 Работа в алкогольном бизнесе – как это?  40:43 «Я очень много зарабатывала». Сколько? 42:53 Дудь тестирует мини-электрокар44:23 Как ты стала семейным блогером?46:48 Автообзор от Натальи Ремиш 49:36 Чем занимается твой бывший муж?52:39 Как ты относишься к инстаграм-психологам? 54:20 Что ты думаешь о Людмиле Петрановской?54:49 Лодочный каршеринг (вау!!!)56:45 Что случилось с первой женой твоего бывшего мужа? 1:01:27 Шок про систему образования в Нидерландах  1:05:13 Что делать, если ребенка буллят в школе? 1:09:54 «Дай сдачи» работает против буллинга? 1:14:45 Вши в нидерландской школе 1:16:56 Что делать, если твой ребенок буллит других? 1:19:33 Как быть, если ребенку рассказывают стремные вещи в школе?1:22:11 Как защитить ребенка от приставаний?1:23:45 Если подростком манипулирует взрослый, виноваты родители? 1:27:56 В 14 лет встречаться с 19-летним – это норм? 1:32:53 Надо ли покупать презервативы детям? 1:38:38 Как реагировать, если ребенок смотрит порно? 1:37:55 Если подросток курит…1:39:23 Если подросток пришел домой пьяным…1:42:37 Работает ли мотивация наказанием? А деньгами? 1:45:28 Будешь ли ты осуждать ребенка за вкус? 1:50:08 А если девочка надевает то, что ей не идет? 1:54:44 Можно ли дружить со своими детьми? 2:02:57 Как поддерживать ребенка с разбитым сердцем? 2:05:24 Что делать, если ребенок увидел секс родителей?2:07:11 Каково жить без штор на окнах?2:10:05 Сколько стоит развод в Нидерландах? (лучше не разводиться) 2:14:46 «Дочь спросила: «У тебя хотя бы есть любовник?»  2:16:39 Сколько ты зарабатываешь?2:22:30 Претензия к тебе №1. Показывать истерики детей в соцсетях – это норм? 2:31:40 Претензия к тебе №2. Ты зазналась?  2:40:47 Претензия к тебе №3. Жить в Амстердаме и быть разведенной, при этом давать советы русским родителям – это норм? 2:43:51 Какой ты видишь себя в 50? 2:46:03 В чем сила?"
"l1hNC46Z5Ss","Картошка 1 : диета 0","2025-04-21T10:28:09Z","UCowo0GUBNJx6WhhQFI5sThw","Настя Ли","23","25.22.04","Смешное видео|Смех|Смешно|Юмор|Прикол|Прикольное видео|Настя Ли|Угар|Смешная девушка|Смеется|Правильное питание|Картошка фри|Фастфуд|Хочет фастфуд|Худеет|На диете|Девушка на диете","881993","0","0","867","https://i.ytimg.com/vi/l1hNC46Z5Ss/default.jpg","False","True",""
"jydIJDjLTvE","Выбери лево или право Анимация","2025-04-21T14:30:51Z","UC8dzO8qXHZrK6oZ5kmtbk_A","Timonqi","20","25.22.04","dayz rp|stalker rp dayz|stalker rp|сталкер рп дейз|stalker role play|тимонки|timonqi|Сталкер рп|сталкер рп|dayz pvp|dayz stalker|dayz|сталкер role play|stalker rp server|дейз|stalkerrp|dayzrp|stalker dayz rp|stalker|сталкер|dayz сталкер|сталкер рп наёмник|sfm|анимация сталкер|animation stalker|blender|stalker 2|сталкер анимация|сталкер sfm|сталкер blender|stalker анимация|мультик сталкер|мультик stalker","572057","0","0","113","https://i.ytimg.com/vi/jydIJDjLTvE/default.jpg","False","True","Сталкер анимацияTG: t.me/timonqi1337#shorts #dayz #stalkerrp"
"7l2I3CnIY4k","У ПОДПИСЧИЦЫ ВОЛОСЫ 135 САНТИМЕТРОВ #янгер","2025-04-21T11:25:10Z","UCn4sb2Qe4u9c9FV2zVWDdKQ","ЯНГЕР","22","25.22.04","[none]","622041","0","0","84","https://i.ytimg.com/vi/7l2I3CnIY4k/default.jpg","False","True",""
"I85v-QTGFLc","А вы бы прошли тест?","2025-04-22T09:56:51Z","UCa7kooNeRQTwIQ6NDtEEtjQ","Cadrol&Fatich","24","25.22.04","[none]","96461","0","0","120","https://i.ytimg.com/vi/I85v-QTGFLc/default.jpg","False","True",""
"e-eDSfBxG-0","почему родители всегда портят вечеринку? // Eva mash","2025-04-21T12:01:11Z","UCMFyh6mw8lF6-ILZCT4zJ7w","EVA mash","24","25.22.04","eva mash|evamash|eva mash🌈|evangelina mash|evangelinamash|ева маш|ева мэш|ева маш новое видео|ева маш новые серии|марьяна локель|вики шоу|вау вероника|мирослава и злата|даша да|настя это где|квинка|настя князева|кикидо|амина кикидо|viki show","625805","0","0","117","https://i.ytimg.com/vi/e-eDSfBxG-0/default.jpg","False","True","СОТРУДНИЧЕСТВО И РЕКЛАМА - https://t.me/eva_mashКАК СНИМАТЬ ВИДЕО НА МИЛЛИОН - https://boosty.to/evamashkurs🤍 привет ребята, надеюсь вы наслаждаетесь моими видео каждую неделюпроверь свою подписку на мой канал и лайки на видео🤍YOUTUBE: https://goo.su/2qT5***🤍СООБЩЕСТВО VK: https://vk.com/video/@evamashclub🤍ИГРОВОЙ КАНАЛ: https://www.youtube.com/@eagames3141🤍ЯНДЕКС ДЗЕН: https://zen.yandex.ru/evamash🤍 RUTUBE: https://rutube.ru/channel/25665935/🤍LIKEE: https://l.likee.com/user/@EvangelinaMash🤍TELEGRAM: https://t.me/evamash7🤍 VK: https://vk.com/evamash7***Production Music courtesy of Epidemic Sound#EVAmash #челлендж #пранк"
"-ucvp-uSRms","Вопрос Ребром — Александр Ревва 2","2025-04-22T09:00:11Z","UCthfjHehYgSyhf8ONjzJMUw","GAZ LIVE","10","25.22.04","Gazgolder|GAZ|Баста|Basta|Ноггано|вопрос ребром|frank|баста вопрос ребром|академик|автоблогер|интервью|вопрос ребром паша техник|газлайв|газ|лавандовый раф|баста василенко|вопрос ребром василенко|николай василенко|вопрос ребром николай василенко|вопрос ребром ревва|александр ревва|артур пирожков|вопрос ребром пирожков|баста ревва|баста пирожков|вопрос ребром инстасамка|frank by basta|фрэнк|франк|франк баста","90212","0","0","465","https://i.ytimg.com/vi/-ucvp-uSRms/default.jpg","False","True","Подписка для онлайн-торговли от Альфа-Банка. Начните экономить на ежедневных бизнес-расходах и развивайте своё дело. https://alfa.me/HS9Ccs Реклама. АО «Альфа-Банк». ИНН 7728168971. erid: 2VtzqxkxNUJВесь ассортимент автомобилей Brook Drive доступен на сайте: https://clck.ru/3F8KDWНе забудь про промокод БАСТА на 10% скидку! Забронируй любой автомобиль до конца апреля и получи фирменное худи в подарок! Реклама. ООО «ЭД-КОМ». ИНН 9703008017. erid: 2Vtzqv7AqzzБолее 400 000 квартир, домов и отелей на Авито Путешествиях. Все пройдет как забронировано — https://abrv.in/bxplРеклама. ООО КЕХ еКоммерц. erid: 2VfnxyQNyPn 12+  Это новый выпуск шоу #ВопросРебром! В гостях Александр Ревва! Узнаем, как натальная карта влияет на его жизнь, почему не подрался с Басковым и зачем женился 5 раз. И конечно послушаем хиты голосом той самой Бабушки! Приятного просмотра!Баста на Большой спортивной арене Лужники: 27 и 28 июня 2025 года! Два концерта подряд!Билеты: https://bit.ly/bastaluzhniki2025Сайт мюзикла «Любовь без памяти» crazy-in-love.ruБилеты: https://msk.kassir.ru/teatr/myuzikl-lyubov-bez-pamyatiРеклама. ООО «АРТ ГАЗ». ИНН 9703201437. erid: 2Vtzqvr3SDGАлександр Ревва в социальных сетях:https://t.me/Arthur_Pirozhkov1https://vk.com/aleksandrrevvaofficialhttps://youtube.com/@UCIx07h6JQsBGGZ3iyHqKgGA Баста в социальных сетях:https://t.me/nogganobasta https://vk.com/basta https://www.tiktok.com/@bastaakanoggano GAZ в социальных сетях:https://t.me/gazlivehttps://vk.com/gazhttps://www.youtube.com/@UCthfjHehYgSyhf8ONjzJMUw Сайт: http://gaz.teamСкачай приложение FRANK by БАСТА, введи промокод PIROGOK на главном экране, активируй его в приложении. Предъяви QR-код сотруднику любого ресторана FRANK by БАСТА и получи 500 баллов на счёт в приложении, чтобы обменять их на подарки*.* Промокод действует неделю после выпуска шоу. С пользовательскими условиями приложения и офертой можно ознакомиться в профиле приложения.FRANK by Баста:https://vk.com/frankbybastaGorilla by Баста:https://vk.com/gorillabybastamoscowТаймкоды:00:00 Мы начинаем!02:13 Приветствие03:09 Обсуждаем Натальную карту, знаки зодиака и нумерологию04:53 Басков поцеловал в губы жену Реввы — почему он ничего с этим не сделал?06:32 Провокационный мерч Артура Пирожкова 07:55 Волшебная кнопка Александры Реввы10:45 Про зажатость, потерю девственности и то, как раскрыть своего внутреннего тигра14:41 Зачем Ревва женился 5 раз?17:04 Правила любящей семьи21:21 Про образ бабушки23:48 Вопрос от Славы: как изменить свое тело в 30 лет?27:53 История знакомства Басты и Реввы29:25 Закончилась ли эпоха КВН?32:25 Мама не ладит с девушкой — что делать и кого выбрать?37:15 «Если у тебя нет сына, значит, ты не мужик?» Ответ от Реввы с двумя дочками41:11 Самый трудный этап в карьере Александра45:30 Про сложный период Басты48:11 Зачем нужен фит с Хабибом?49:55 Ревва исполняет песни голосом бабушки!50:44 Sigma Boy от Ба!51:44 Сидим с бабкой и бобром за столом52:53 Бабушка поет «По барам» Анны Асти53:56 Карен Акопян vs Александр Ревва54:59 Время подарков!57:20 Подводим итоги#АлександрРевва #Баста #ВопросРебром"
"kQVsAwBGvis","Закрывайте двери","2025-04-20T11:30:11Z","UC8Uvvf9XC9BgbfSK0Q24GDw","Янчик","19","25.22.04","[none]","1682550","0","0","1053","https://i.ytimg.com/vi/kQVsAwBGvis/default.jpg","False","True",""
"2pPyILKWqc8","Купили НОВЫЙ СПОРТКАР Corvette в АВТОСАЛОНЕ Америки. Доставили самолётом. РАСПАКОВКА","2025-04-22T06:23:58Z","UCjxPHHwF28v3Waq3n4D2plg","Саша Туман","2","25.22.04","НастяТуман|тест драйв|обзор авто|авто из америки|Chevrolet Corvette|2025 Corvette Stingray|Sports Car|авто из грузии|доставка авто|растаможка авто","135986","0","0","828","https://i.ytimg.com/vi/2pPyILKWqc8/default.jpg","False","True","Закажи авто у АвтоАйка из Грузии, Америки, Европы и других стран. По промо ТУМАН получишь скидку на услуги привоза авто 20%ТГ канал https://t.me/autohaykofficialПолный ассортимент авто от АвтоАйка тут https://t.me/autohaykcataIogТак же подписывайтесь на ютуб канал    / @autohayk  Канал Саша Туман https://www.youtube.com/channel/UCjxPHHwF28v3Waq3n4D2plgКанал Настя Туман https://www.youtube.com/channel/UCjC5MBcnMpT-QDZ8XbrIOIwЧпек канал с короткими видео   https://www.youtube.com/c/НастяЧПЕКТуманНаш телеграмм https://t.me/sashatymanВК видео https://vk.com/nastyatymanruСаша   https://vk.com/sashatymanНастя  https://vk.com/nastyatymanИнст        Саша https://www.instagram.com/sashatyman/Настя https://www.instagram.com/tymannastya/По вопросам сотрудничества почта nastyatyman@wildjam.ruРеклама. ИП Аветян Луиза Нориковна. ИНН 440103921345erid: 2VtzqwLDaiE"
